price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews,latitude,longitude
417.44,4,2.0,Entire home/apt,4.9,Woollahra,257,-33.87635,151.23235
365.5,4,2.0,Entire home/apt,4.56,Sydney,45,-33.87341,151.22092
135.93,5,2.0,Entire home/apt,4.46,Sydney,85,-33.86803,151.205
270.08,2,1.0,Entire home/apt,4.86,Waverley,65,-33.88842,151.27911
366.0,4,2.0,Entire home/apt,4.88,Waverley,280,-33.88786315917969,151.27110290527344
1880.5,9,4.0,Entire home/apt,5.0,Manly,8,-33.79167,151.2811
160.01,6,3.0,Entire home/apt,4.73,Sydney,37,-33.88147,151.20477
315.0,4,2.0,Entire home/apt,4.82,Sydney,431,-33.87787839434174,151.2112804709785
1203.14,7,3.0,Entire home/apt,4.85,Manly,39,-33.78281,151.23947
445.9,6,3.0,Entire home/apt,4.42,Warringah,26,-33.78218,151.27765
254.6,4,1.0,Entire home/apt,4.92,Pittwater,396,-33.61681,151.3351
225.0,4,1.0,Entire home/apt,4.76,Sydney,264,-33.87183,151.22504
153.53,6,3.0,Entire home/apt,4.17,Warringah,6,-33.77461,151.29218
186.6,4,2.0,Entire home/apt,4.83,Woollahra,6,-33.86766,151.2703
210.0,2,1.0,Entire home/apt,4.74,Sydney,57,-33.87743,151.22243
120.5,5,2.0,Entire home/apt,4.93,Woollahra,28,-33.8671,151.24962
246.0,2,1.0,Entire home/apt,4.7,Waverley,226,-33.90565,151.26494
311.54,5,2.0,Entire home/apt,4.67,Waverley,232,-33.89019,151.24547
288.25,3,1.0,Entire home/apt,4.95,Waverley,22,-33.89118,151.2529
147.21,4,1.0,Entire home/apt,4.74,Pittwater,166,-33.62218,151.33475
248.5,2,1.0,Entire home/apt,4.75,Sydney,192,-33.877747119696274,151.21117752688514
223.0,2,1.0,Entire home/apt,4.9,Sydney,211,-33.90514,151.19192
1056.0,4,2.0,Entire home/apt,4.99,Pittwater,283,-33.5942,151.30144
1741.14,8,4.0,Entire home/apt,5.0,Warringah,7,-33.774,151.28786
285.0,3,2.0,Entire home/apt,4.69,Sydney,86,-33.89164,151.20652
411.0,4,2.0,Entire home/apt,4.91,Sutherland Shire,277,-34.08418,151.15573
287.34,4,1.0,Entire home/apt,4.89,The Hills Shire,127,-33.63159,151.01419
176.88,2,1.0,Entire home/apt,4.64,Sydney,305,-33.8765,151.21286
616.24,4,2.0,Entire home/apt,5.0,Sutherland Shire,15,-34.08287,151.15376
1632.0,4,2.0,Entire home/apt,4.75,Waverley,40,-33.897004,151.268064
200.0,1,2.0,Private room,4.88,Manly,8,-33.80167,151.29058
31.35,2,1.0,Entire home/apt,4.76,Sutherland Shire,42,-34.00178,151.08562
329.0,4,2.0,Private room,4.63,The Hills Shire,19,-33.62745,151.01472
225.0,4,1.0,Entire home/apt,4.87,Sydney,299,-33.87644,151.22383
320.0,2,1.0,Entire home/apt,4.75,Sutherland Shire,128,-34.05157,151.04918
1468.04,6,3.0,Entire home/apt,4.96,Waverley,89,-33.90363311767578,151.26348876953125
209.33,2,1.0,Entire home/apt,4.72,Sydney,317,-33.894627,151.187576
584.0,4,2.0,Entire home/apt,4.89,Sydney,9,-33.875667572021484,151.22938537597656
127.0,2,1.0,Private room,4.75,Penrith,328,-33.7457,150.74053
267.5,2,1.0,Entire home/apt,4.91,The Hills Shire,156,-33.68887,150.92799
162.33,2,1.0,Entire home/apt,4.67,Marrickville,171,-33.91543,151.15608
56.82,4,2.0,Entire home/apt,4.76,Sutherland Shire,51,-34.05985,151.1544
45.58,4,1.0,Entire home/apt,4.84,Leichhardt,196,-33.88141,151.16079
399.5,2,1.0,Entire home/apt,4.99,Hornsby,84,-33.52288,151.17943
399.41,8,3.0,Entire home/apt,4.95,Waverley,489,-33.8925,151.2631
796.66,6,3.0,Entire home/apt,4.79,Sydney,275,-33.8588,151.20448
463.86,2,1.0,Entire home/apt,5.0,Randwick,1,-33.92127,151.25274
422.0,2,1.0,Entire home/apt,4.83,Sydney,36,-33.87756298488917,151.2200742963513
600.0,4,2.0,Entire home/apt,4.67,Randwick,3,-33.92132,151.25459
159.48,7,4.0,Entire home/apt,5.0,Manly,3,-33.81069,151.26022
255.0,6,2.0,Entire home/apt,4.68,Sydney,294,-33.8948,151.18146
1000.43,6,3.0,Entire home/apt,5.0,Woollahra,8,-33.88843,151.2378
248.44,2,1.0,Entire home/apt,4.88,Marrickville,229,-33.89822,151.1778
242.5,5,3.0,Private room,4.92,Leichhardt,51,-33.88796,151.15693
172.0,1,1.0,Private room,4.86,Sydney,29,-33.8817,151.21221
117.26,6,3.0,Entire home/apt,4.6,Marrickville,25,-33.89761,151.16435
317.0,2,1.0,Entire home/apt,5.0,Waverley,6,-33.8970111,151.2598009
283.47,4,2.0,Entire home/apt,4.76,Warringah,34,-33.77933,151.29089
1140.0,4,2.0,Entire home/apt,4.85,Waverley,60,-33.89835320560104,151.27329853680746
413.7,6,2.0,Entire home/apt,4.81,Sydney,115,-33.88252,151.21417
314.0,4,2.0,Entire home/apt,4.61,Waverley,363,-33.89807,151.27132
117.05,3,2.0,Entire home/apt,5.0,Sydney,1,-33.874027252197266,151.22137451171875
315.25,2,1.0,Entire home/apt,4.88,Leichhardt,69,-33.85822,151.19547
296.71,4,2.0,Entire home/apt,4.93,Waverley,42,-33.88717,151.27351
345.25,6,3.0,Entire home/apt,4.95,Leichhardt,219,-33.86057,151.18093
53.69,3,2.0,Private room,4.86,North Sydney,42,-33.82847,151.22394
120.87,5,2.0,Entire home/apt,5.0,Woollahra,1,-33.88763,151.25933
447.37,4,2.0,Entire home/apt,4.97,Woollahra,39,-33.87977,151.24144
320.0,2,1.0,Entire home/apt,4.97,Waverley,235,-33.89587,151.26656
406.98,7,4.0,Entire home/apt,4.93,Randwick,15,-33.91402,151.24414
308.12,3,1.0,Entire home/apt,4.97,Randwick,90,-33.921619,151.252731
291.0,2,1.0,Entire home/apt,4.89,Lane Cove,57,-33.82114,151.18359
399.0,4,1.0,Entire home/apt,4.8,Waverley,650,-33.89037,151.27091
701.9,8,4.0,Entire home/apt,4.67,Pittwater,3,-33.70576,151.29053
566.78,6,3.0,Entire home/apt,4.9,Randwick,147,-33.91735,151.25586
167.67,2,1.0,Private room,4.95,Leichhardt,228,-33.8523661985942,151.183859935141
284.29,6,3.0,Entire home/apt,4.92,Waverley,12,-33.89045,151.26821
253.5,3,1.0,Entire home/apt,4.95,Manly,189,-33.80779,151.28412
335.57,4,2.0,Entire home/apt,4.81,Woollahra,43,-33.88019,151.22513
247.33,4,1.0,Entire home/apt,4.76,Warringah,214,-33.77059,151.28572
364.9,2,1.0,Entire home/apt,4.95,Sydney,39,-33.87064,151.20737
685.0,5,3.0,Entire home/apt,4.96,Warringah,23,-33.77541,151.28069
1089.71,8,4.0,Entire home/apt,4.78,Woollahra,18,-33.88735,151.23573
342.35,4,1.0,Entire home/apt,4.88,Rockdale,249,-33.941463470458984,151.1531219482422
116.13,2,2.0,Entire home/apt,5.0,Canada Bay,4,-33.86685,151.1419
604.82,6,4.0,Entire home/apt,4.7,Randwick,10,-33.904381475921845,151.24086562161966
228.29,3,2.0,Entire home/apt,5.0,Sydney,2,-33.8978,151.18068
393.71,5,2.0,Entire home/apt,4.92,North Sydney,91,-33.85064,151.21628
685.0,4,2.0,Entire home/apt,4.95,Sydney,22,-33.872812,151.2234723
608.0,2,1.0,Entire home/apt,5.0,Waverley,38,-33.86442,151.28171
152.09,6,3.0,Entire home/apt,4.92,Warringah,26,-33.78567,151.28913
155.0,4,1.0,Entire home/apt,4.79,Rockdale,403,-33.94173,151.11048
302.67,4,1.0,Entire home/apt,4.96,Marrickville,210,-33.9093,151.17686
419.5,3,2.0,Entire home/apt,4.88,Mosman,32,-33.83089828491211,151.2435760498047
159.44,2,1.0,Entire home/apt,4.81,Pittwater,189,-33.68154,151.29909
200.0,2,1.0,Private room,4.44,Sydney,202,-33.88101,151.20989
177.0,2,1.0,Private room,4.57,Sydney,21,-33.88108,151.20935
297.67,4,2.0,Entire home/apt,4.89,Willoughby,74,-33.79401,151.184
249.33,2,1.0,Entire home/apt,4.94,Woollahra,175,-33.888638,151.234695
443.4,5,2.0,Entire home/apt,4.9,Randwick,145,-33.9185,151.25385
174.5,2,1.0,Entire home/apt,4.91,Marrickville,516,-33.90229,151.15958
139.67,4,1.0,Entire home/apt,4.8,Hornsby,163,-33.66463,151.0906
571.0,4,2.0,Entire home/apt,4.74,Sydney,329,-33.86995,151.19894
199.71,2,1.0,Entire home/apt,4.79,Waverley,34,-33.888786,151.276398
792.0,6,3.0,Entire home/apt,4.86,Pittwater,7,-33.69891,151.28872
184.67,2,1.0,Entire home/apt,4.85,Waverley,152,-33.89383,151.24547
445.5,2,1.0,Entire home/apt,4.9,Mosman,165,-33.83000946044922,151.23516845703125
465.0,4,2.0,Entire home/apt,4.86,Randwick,50,-33.9051,151.24889
257.0,2,1.0,Entire home/apt,4.59,Sydney,262,-33.88033,151.21544
73.13,3,1.0,Entire home/apt,4.29,Sydney,17,-33.86678,151.20506
46.0,3,1.0,Entire home/apt,4.64,Waverley,67,-33.89072,151.27376
